EnrollmentID,StudentID,CourseID,EnrollmentDate,Grade
E0072,S023,C020,2024-01-10,B
E0073,S023,C004,2024-05-19,B
E0074,S024,C007,2024-01-26,Incomplete
E0075,S024,C023,2024-09-08,F
E0076,S024,C019,2024-09-24,A
E0077,S024,C005,2024-01-17,B
E0078,S025,C017,2024-09-23,A
E0079,S026,C001,2024-11-09,A
E0080,S027,C004,2024-10-17,C
E0081,S027,C010,2024-07-14,F
E0082,S027,C003,2024-08-23,C
E0083,S027,C024,2024-07-29,Incomplete
E0084,S027,C009,2024-04-30,C
E0085,S028,C016,2024-10-29,C
E0086,S028,C016,2024-05-06,D
E0087,S028,C016,2024-02-12,C
E0088,S029,C007,2024-04-21,A
E0089,S030,C019,2024-08-29,A
E0090,S030,C014,2024-08-15,F
E0091,S030,C002,2024-10-02,Incomplete
E0092,S031,C005,2024-09-13,Incomplete
E0093,S031,C011,2024-04-22,F
E0094,S031,C025,2024-06-19,Incomplete
E0095,S031,C012,2024-06-18,A
E0096,S031,C013,2024-01-26,D
E0097,S032,C011,2024-05-07,Incomplete
E0098,S033,C021,2024-08-04,B
E0099,S033,C025,2024-10-12,Incomplete
E0100,S034,C022,2024-06-13,B
E0101,S035,C022,2024-01-15,Incomplete
E0102,S036,C009,2024-07-17,Incomplete
E0103,S036,C010,2024-06-09,F
E0104,S037,C009,2024-11-06,C
E0105,S038,C005,2024-01-06,B
E0106,S038,C006,2024-07-18,B
E0107,S039,C008,2024-06-05,F
E0108,S040,C022,2024-10-21,C
E0109,S040,C006,2024-02-08,B
E0110,S040,C004,2024-11-01,B
E0111,S040,C019,2024-05-14,B
E0112,S041,C015,2024-08-03,D
E0113,S041,C013,2024-09-13,B
E0114,S041,C013,2024-05-04,Incomplete
E0115,S041,C005,2024-04-14,C
E0116,S042,C021,2024-02-15,F
E0117,S042,C001,2024-01-30,C
E0118,S042,C020,2024-09-19,F
E0119,S042,C017,2024-02-11,B
E0120,S043,C008,2024-06-13,C
E0121,S043,C024,2024-10-28,B
E0122,S043,C024,2024-05-25,F
E0123,S043,C007,2024-04-08,F
E0124,S044,C005,2024-10-03,B
E0125,S045,C019,2024-11-03,A
E0126,S045,C015,2024-04-08,B
E0127,S045,C025,2024-05-23,C
E0128,S046,C006,2024-10-31,Incomplete
E0129,S046,C014,2024-10-22,B
E0130,S046,C002,2024-11-14,Incomplete
E0131,S047,C024,2024-08-05,F
E0132,S047,C011,2024-09-18,D
E0133,S047,C004,2024-04-07,A
E0134,S048,C019,2024-07-28,Incomplete
E0135,S048,C025,2024-01-08,B
E0136,S048,C013,2024-10-26,F
E0137,S049,C001,2024-03-25,D
E0138,S049,C015,2024-05-23,A
E0139,S050,C021,2024-07-29,B
E0140,S051,C011,2024-01-30,F
E0141,S051,C003,2024-08-27,B
E0142,S051,C023,2024-06-27,Incomplete
E0143,S051,C005,2024-10-16,C
E0144,S052,C013,2024-04-30,D
E0145,S053,C012,2024-07-03,C
E0146,S054,C015,2024-03-07,F
E0147,S054,C024,2024-04-08,B
E0148,S054,C023,2024-08-31,F
E0149,S054,C022,2024-06-29,Incomplete
E0150,S055,C016,2024-04-20,A
E0151,S055,C018,2024-02-24,F
E0152,S055,C019,2024-10-01,B
E0153,S055,C024,2024-05-28,D
E0154,S056,C006,2024-04-09,D
E0155,S056,C015,2024-06-19,D
E0156,S057,C005,2024-03-25,A
E0157,S057,C005,2024-08-23,F
E0158,S057,C025,2024-07-13,B
E0159,S058,C020,2024-08-09,Incomplete
E0160,S058,C005,2024-05-31,Incomplete
E0161,S059,C001,2024-01-17,C
E0162,S059,C025,2024-10-08,D
E0163,S059,C022,2024-05-09,D
E0164,S060,C023,2024-01-02,C
E0165,S060,C019,2024-01-09,Incomplete
E0166,S061,C023,2024-11-01,C
E0167,S061,C017,2024-08-24,C
E0168,S061,C022,2024-05-16,Incomplete
E0169,S061,C017,2024-03-29,C
E0170,S062,C005,2024-06-18,Incomplete
E0171,S062,C018,2024-02-08,B
E0172,S062,C020,2024-09-20,D
E0173,S062,C010,2024-02-10,A
E0174,S063,C004,2024-02-12,B
E0175,S063,C005,2024-06-08,D
E0176,S064,C022,2024-08-02,D
E0177,S064,C013,2024-08-10,C
E0178,S064,C024,2024-09-13,B
E0179,S064,C021,2024-01-30,C
E0180,S064,C024,2024-04-05,A
E0181,S065,C023,2024-09-21,D
E0182,S065,C002,2024-08-08,A
E0183,S065,C014,2024-08-18,B
E0184,S065,C015,2024-07-08,D
E0185,S066,C005,2024-08-06,A
E0186,S066,C025,2024-08-13,B
E0187,S066,C016,2024-02-18,F
E0188,S066,C011,2024-07-15,D
E0189,S066,C015,2024-03-17,A
E0190,S067,C009,2024-05-24,Incomplete
E0191,S067,C002,2024-10-13,C
E0192,S067,C004,2024-07-21,B
E0193,S067,C023,2024-11-12,Incomplete
E0194,S067,C021,2024-09-04,D
E0195,S068,C020,2024-08-10,F
E0196,S069,C003,2024-05-21,C
E0197,S070,C006,2024-10-04,F
E0198,S070,C003,2024-06-30,C
E0199,S070,C019,2024-04-17,D
E0200,S071,C006,2024-05-26,D
E0201,S072,C017,2024-06-12,Incomplete
E0202,S073,C001,2024-01-25,B
E0203,S073,C025,2024-04-27,Incomplete
E0204,S073,C019,2024-08-27,F
E0205,S074,C011,2024-10-10,B
E0206,S075,C015,2024-07-02,F
E0207,S075,C002,2024-05-22,C
E0208,S075,C021,2024-02-03,D
E0209,S075,C011,2024-09-20,D
E0210,S076,C011,2024-07-01,D
E0211,S076,C012,2024-09-04,B
E0212,S077,C022,2024-09-17,D
E0213,S077,C005,2024-11-05,F
E0214,S078,C012,2024-09-28,A
E0215,S078,C016,2024-01-27,D
E0216,S079,C024,2024-05-12,B
E0217,S079,C010,2024-04-15,F
E0218,S080,C001,2024-08-26,A
E0219,S080,C021,2024-03-26,A
E0220,S080,C004,2024-06-20,A
E0221,S080,C006,2024-08-06,D
E0222,S080,C015,2024-04-21,A
E0223,S081,C014,2024-01-23,Incomplete
E0224,S081,C014,2024-06-17,C
E0225,S081,C016,2024-09-27,C
E0226,S081,C022,2024-10-30,F
E0227,S081,C021,2024-01-19,Incomplete
E0228,S082,C012,2024-01-19,F
E0229,S082,C018,2024-10-02,A
E0230,S083,C002,2024-05-13,A
E0231,S083,C019,2024-08-04,Incomplete
E0232,S083,C021,2024-03-24,B
E0233,S083,C009,2024-11-21,D
E0234,S084,C018,2024-06-07,C
E0235,S085,C002,2024-09-08,Incomplete
E0236,S085,C020,2024-08-07,F
E0237,S085,C011,2024-04-11,A
E0238,S085,C019,2024-01-09,B
E0239,S085,C025,2024-03-16,D
E0240,S086,C001,2024-04-25,A
E0241,S086,C011,2024-01-11,Incomplete
E0242,S086,C025,2024-02-01,B
E0243,S086,C024,2024-06-10,F
E0244,S086,C024,2024-03-21,D
E0245,S087,C016,2024-07-29,D
E0246,S088,C011,2024-08-12,Incomplete
E0247,S089,C015,2024-07-22,F
E0248,S089,C019,2024-11-17,B
E0249,S089,C007,2024-07-03,B
E0250,S089,C009,2024-06-21,A
E0251,S089,C002,2024-02-16,Incomplete
E0252,S090,C017,2024-04-13,A
E0253,S090,C024,2024-04-25,A
E0254,S090,C005,2024-06-16,C
E0255,S090,C021,2024-06-14,A
E0256,S090,C017,2024-10-11,Incomplete
E0257,S091,C019,2024-06-14,B
E0258,S091,C003,2024-05-11,F
E0259,S091,C001,2024-10-16,B
E0260,S091,C021,2024-07-04,B
E0261,S092,C022,2024-05-17,B
E0262,S092,C018,2024-03-13,Incomplete
E0263,S092,C024,2024-07-07,D
E0264,S092,C017,2024-03-14,B
E0265,S092,C015,2024-07-20,B
E0266,S093,C006,2024-09-27,A
E0267,S093,C011,2024-03-02,A
E0268,S093,C018,2024-03-06,B
E0269,S093,C002,2024-05-06,Incomplete
E0270,S094,C005,2024-01-25,B
E0271,S094,C007,2024-08-17,A
E0272,S094,C025,2024-04-19,Incomplete
E0273,S095,C007,2024-04-28,C
E0274,S096,C024,2024-06-27,Incomplete
E0275,S096,C022,2024-04-07,F
E0276,S096,C006,2024-07-04,C
E0277,S097,C019,2024-01-09,C
E0278,S097,C004,2024-11-19,D
E0279,S098,C002,2024-07-16,Incomplete
E0280,S098,C021,2024-05-29,D
E0281,S098,C023,2024-03-05,C
E0282,S099,C007,2024-07-31,F
E0283,S099,C007,2024-07-24,F
E0284,S100,C008,2024-03-06,B
